STATE,STATE_ABBREVIATION,PASSENGERS_FROM_ITALY_SCALED,PASSENGERS_FROM_ITALY_NEIGHBORS_SCALED,NEIGHBORS_HUBS_ITALY,RANK_NORMALIZED,RANK_ITALY,CASES_MAR_17,CASES_MAR_31,TESTS_MAR_17_SCALED,TESTS_MAR_31_SCALED
New York,NY,1.0,1.0,0.17858583248423923,0.3378118445619579,0.6575886979864677,1375,76211,0.34355540676263807,1.0
North Carolina,NC,0.06539539723430184,0.03581596050314531,0.2688001246237563,0.2475170633709747,0.2837682463840261,42,1527,0.031335788416471375,0.12124755765398353
North Dakota,ND,0.0,0.0,0.0,0.0,0.0,5,126,0.004352192835621024,0.019855481330975037
Ohio,OH,0.0,0.04472846781150555,0.042493166884174816,0.057319634969564506,0.042513842196206124,67,2199,0.07907599598259123,0.1345300219750235
Oklahoma,OK,0.0,0.0,0.00013388319254613315,0.025220622137752946,0.013619714230906996,18,566,0.008838299296953464,0.008741284296385085
Oregon,OR,0.0,0.0,0.010875567534788879,0.08760529437538472,0.07976348761570529,66,690,0.0,0.01238592234192357
Pennsylvania,PA,0.17381603802028628,0.1041066686126669,0.07426356440989336,0.15016565746717755,0.20558540297173156,101,4997,0.03317710077000335,0.21192011031364352
Rhode Island,RI,0.0,0.0,3.494961310883214e-07,0.01548249093861603,0.00984111645116472,23,488,0.016705724807499163,0.018988174416395023
South Carolina,SC,0.0,0.0,0.013927951559616762,0.023475065528716237,0.011904255666301575,47,1083,0.011516571811181788,0.02776843879882865
South Dakota,SD,0.0,6.950000825312598e-06,0.0,0.0,0.0,11,107,0.008804820890525611,0.01814035754483928
Tennessee,TN,1.823044119070023e-05,1.3900001650625196e-05,0.06124153520249059,0.05754674035031932,0.051796362988244,73,2049,0.0,0.13331189428600665
Texas,TX,0.0020446140966185336,0.12224877701704227,0.4140120362391416,0.7306534349588719,0.7288598370323127,106,3588,0.27124204887847336,0.3811277913395994
Utah,UT,0.0014682516866663955,0.05443153771374511,0.05382896816232078,0.09983740962659671,0.09708797302779916,51,887,0.05028456645463676,0.10685416088056014
Vermont,VT,0.0,0.0,0.0,0.0,0.0,14,293,0.018379645128891866,0.021668055332232147
Virginia,VA,0.0,0.0,0.019794200940061447,0.0306646767164745,0.01999198955410626,67,1249,0.23943756277201206,0.1042376226045519
Washington,WA,0.0005595343103914917,0.06686769544053883,0.07979287736452614,0.2577052956130731,0.2264001649185429,908,5293,1.0,0.4307884209654393
West Virginia,WV,0.0,0.0,0.0,0.0,0.0,1,162,0.0007030465349849347,0.01724868807647893
Wisconsin,WI,0.0,0.0,0.008764144887654906,0.017675934789118903,0.012142586647252795,72,1351,0.04419149648476733,0.09934562180546014
Wyoming,WY,0.0,2.6062503094922244e-06,0.0,0.0,0.0,15,121,0.01543354536324071,0.014237476429229217
